player_id,player,nationality,squad,birth_year,value,height,position,foot,league,games,games_starts,minutes,goals_2018,goals_2019,pens_2018,pens_2019,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Allan,br BRA,Napoli,1991,33000000,175,midfield - Central Midfield,right,Serie A,38,32,2850,4,5,0,0,2,0,0.13,0.16,0.28,0.13,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Gabi,es ESP,AtlÃ©tico Madrid,1983,3000000,181,midfield - Defensive Midfield,right,La Liga,34,25,2354,0,0,0,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,KÃ©vin Gameiro,fr FRA,AtlÃ©tico Madrid,1987,20000000,172,attack - Centre-Forward,right,La Liga,25,11,1133,7,2,2,2,0,0,0.56,0.16,0.71,0.4,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,IÃ±igo MartÃ­nez,es ESP,Athletic Club,1991,32000000,182,Defender - Centre-Back,left,La Liga,16,16,1440,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Antoine Griezmann,fr FRA,AtlÃ©tico Madrid,1991,100000000,176,attack - Second Striker,left,La Liga,32,30,2509,19,9,2,2,7,1,0.68,0.32,1,0.61,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Lucas HernÃ¡ndez,fr FRA,AtlÃ©tico Madrid,1996,35000000,184,Defender - Left-Back,left,La Liga,27,24,2122,0,1,0,0,7,2,0,0.04,0.04,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Carlos Isaac,es ESP,AtlÃ©tico Madrid,1998,20000,184,Defender - Right-Back,right,La Liga,1,1,62,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Juanfran,es ESP,AtlÃ©tico Madrid,1985,5000000,181,Defender - Right-Back,right,La Liga,17,15,1306,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Cesc FÃ bregas,es ESP,Chelsea,1987,30000000,179,midfield - Central Midfield,right,Premier League,32,25,2307,2,4,0,0,5,2,0.08,0.16,0.23,0.08,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,Filipe LuÃ­s,br BRA,AtlÃ©tico Madrid,1985,8000000,182,Defender - Left-Back,left,La Liga,20,19,1656,1,2,0,0,4,0,0.05,0.11,0.16,0.05,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
